Name	Year of birth	Year of death	Nationality	Notable 20th-century works	Remarks	URL	Pageviews	IMSLP_URL	IMSLP_Exists
Jaroslav Ježek	1906	1942.0	Czech			https://en.wikipedia.org/wiki/Jaroslav_Je%C5%BEek_(composer)	4613.0	https://imslp.org/wiki/Category:Ježek,_Jaroslav	True
Dieter Schnebel	1930	2018.0	German	Mahler-Moment;Maulwerke;Baumzucht		https://en.wikipedia.org/wiki/Dieter_Schnebel	4605.0	https://imslp.org/wiki/Category:Schnebel,_Dieter	False
Alton Adams	1889	1987.0	American			https://en.wikipedia.org/wiki/Alton_Adams	4601.0	https://imslp.org/wiki/Category:Adams,_Alton	False
Paul Moravec	1957		American	Spiritdance; Chamber Symphony;Tempest Fantasy;The Time Gallery		https://en.wikipedia.org/wiki/Paul_Moravec	4599.0	https://imslp.org/wiki/Category:Moravec,_Paul	False
Arnold Mendelssohn	1855	1933.0	German	Deutsche Messe, Op. 89;Geistliche Chormusik, Op. 90		https://en.wikipedia.org/wiki/Arnold_Mendelssohn	4590.0	https://imslp.org/wiki/Category:Mendelssohn,_Arnold	True
Howard Ferguson	1908	1999.0	British			https://en.wikipedia.org/wiki/Howard_Ferguson_(composer)	4584.0	https://imslp.org/wiki/Category:Ferguson,_Howard	False
David Froom	1951		American			https://en.wikipedia.org/wiki/David_Froom	4583.0	https://imslp.org/wiki/Category:Froom,_David	False
Euel Box	1928	2017.0	American			https://en.wikipedia.org/wiki/Euel_Box	4582.0	https://imslp.org/wiki/Category:Box,_Euel	False
Yves Nat	1890	1956.0	French			https://en.wikipedia.org/wiki/Yves_Nat	4580.0	https://imslp.org/wiki/Category:Nat,_Yves	False
Kirke Mechem	1925		American	four operas (Tartuffe), two symphonies, choral music		https://en.wikipedia.org/wiki/Kirke_Mechem	4575.0	https://imslp.org/wiki/Category:Mechem,_Kirke	False
Calvin Hampton	1938	1984.0	American			https://en.wikipedia.org/wiki/Calvin_Hampton	4573.0	https://imslp.org/wiki/Category:Hampton,_Calvin	False
Herman Berlinski	1910	2001.0	German-born American			https://en.wikipedia.org/wiki/Herman_Berlinski	4566.0	https://imslp.org/wiki/Category:Berlinski,_Herman	False
